Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
1981-06-19,0.10352330654859543,0.1039510517531537,0.10352330654859543,0.1039510517531537,27507200
1981-06-22,0.09967275708913803,0.10010050230520898,0.09967275708913803,0.10010050230520898,10841600
1981-06-23,0.10138377547264099,0.10224004269543135,0.10138377547264099,0.10138377547264099,15030400
1981-06-24,0.09881721436977386,0.09967272739300366,0.09881721436977386,0.09967272739300366,23027200
1981-06-25,0.1009560152888298,0.10138377192664115,0.1009560152888298,0.1009560152888298,24259200
1981-06-26,0.09967275708913803,0.10052825894426812,0.09967275708913803,0.10052825894426812,23788800
1981-06-29,0.0962507352232933,0.0971062371530906,0.0962507352232933,0.0971062371530906,10595200
1981-06-30,0.08897818624973297,0.08940593737891603,0.08897818624973297,0.08940593737891603,35907200
1981-07-01,0.08812262862920761,0.0885503795173843,0.08812262862920761,0.0885503795173843,170464000
1981-07-02,0.08812262862920761,0.0885503795173843,0.08812262862920761,0.08812262862920761,30284800
1981-07-06,0.08512834459543228,0.08598385203332695,0.08512834459543228,0.08598385203332695,16531200
1981-07-07,0.08598385006189346,0.0868393574801731,0.08598385006189346,0.08598385006189346,15836800
1981-07-08,0.08940586447715759,0.08983438630898972,0.08940586447715759,0.08940586447715759,16620800
1981-07-09,0.08256184309720993,0.08298959403866395,0.08256184309720993,0.08298959403866395,32883200
1981-07-10,0.076144739985466,0.07657249076986455,0.076144739985466,0.07657249076986455,55171200
1981-07-13,0.07785652577877045,0.07828428230703705,0.07785652577877045,0.07785652577877045,45740800
1981-07-14,0.08127859979867935,0.08213410761358103,0.08127859979867935,0.08127859979867935,19779200
1981-07-15,0.08341734856367111,0.08384509949421338,0.08341734856367111,0.08341734856367111,10953600
1981-07-16,0.08555609732866287,0.08641160472814531,0.08555609732866287,0.08555609732866287,15232000
1981-07-17,0.0885503739118576,0.0889781304844495,0.0885503739118576,0.0885503739118576,19824000
1981-07-20,0.08256184309720993,0.08298959403866395,0.08256184309720993,0.08298959403866395,23654400
1981-07-21,0.08213408291339874,0.0825618395479582,0.08213408291339874,0.0825618395479582,31942400
1981-07-22,0.07742805033922195,0.07828432924922278,0.07742805033922195,0.07828432924922278,22668800
1981-07-23,0.0795675665140152,0.07999532318230107,0.0795675665140152,0.0795675665140152,34451200
1981-07-24,0.08213408291339874,0.0825618395479582,0.08213408291339874,0.08213408291339874,28851200
1981-07-27,0.08555609732866287,0.0859838481726576,0.08555609732866287,0.08555609732866287,17337600
1981-07-28,0.08256184309720993,0.08298959403866395,0.08256184309720993,0.08298959403866395,22848000
1981-07-29,0.08127859979867935,0.08170635656187807,0.08127859979867935,0.08170635656187807,15500800
1981-07-30,0.08427287638187408,0.08512838421796007,0.08427287638187408,0.08427287638187408,9900800
1981-07-31,0.08555609732866287,0.0859838481726576,0.08555609732866287,0.08555609732866287,10953600
1981-08-03,0.0847005546092987,0.08555606165203723,0.0847005546092987,0.08555606165203723,12432000
1981-08-04,0.08598385006189346,0.08641160662677984,0.08598385006189346,0.08598385006189346,31673600
1981-08-05,0.0885503739118576,0.0889781304844495,0.0885503739118576,0.0885503739118576,17494400
1981-08-06,0.08641161769628525,0.08683936860447428,0.08641161769628525,0.08683936860447428,10528000
1981-08-07,0.08641161769628525,0.08683936860447428,0.08641161769628525,0.08641161769628525,9206400
1981-08-10,0.08641161769628525,0.08641161769628525,0.08641161769628525,0.08641161769628525,0
1981-08-11,0.08384513109922409,0.08470063899428228,0.08384513109922409,0.08470063899428228,71456000
1981-08-12,0.08213408291339874,0.0825618395479582,0.08213408291339874,0.0825618395479582,26275200
1981-08-13,0.0795675665140152,0.07999532318230107,0.0795675665140152,0.07999532318230107,27484800
1981-08-14,0.07828428596258163,0.07913979334757079,0.07828428596258163,0.07913979334757079,24192000
1981-08-17,0.07571697235107422,0.07657247950551238,0.07571697235107422,0.07657247950551238,18905600
1981-08-18,0.07400598376989365,0.07486149122174338,0.07400598376989365,0.07486149122174338,17001600
1981-08-19,0.07315046340227127,0.07400597070306879,0.07315046340227127,0.07400597070306879,20675200
1981-08-20,0.07400598376989365,0.07443374035156518,0.07400598376989365,0.07400598376989365,17113600
1981-08-21,0.06887292116880417,0.06972842832748731,0.06887292116880417,0.06972842832748731,41910400
1981-08-24,0.06459464132785797,0.06502239794176898,0.06459464132785797,0.06502239794176898,23072000
1981-08-25,0.06630642712116241,0.06673417802170231,0.06630642712116241,0.06630642712116241,40700800
1981-08-26,0.06502236425876617,0.06545011493959924,0.06502236425876617,0.06545011493959924,33600000
1981-08-27,0.06545016169548035,0.06587868373369696,0.06545016169548035,0.06545016169548035,25916800
1981-08-28,0.06887292116880417,0.06930067189240005,0.06887292116880417,0.06887292116880417,38035200
1981-08-31,0.06887292116880417,0.06930067189240005,0.06887292116880417,0.06887292116880417,40947200
1981-09-01,0.07315046340227127,0.07357821990841619,0.07315046340227127,0.07315046340227127,37027200
1981-09-02,0.07443376630544662,0.07486151732477485,0.07443376630544662,0.07443376630544662,19376000
1981-09-03,0.07058396190404892,0.07143946938292792,0.07058396190404892,0.07143946938292792,37475200
1981-09-04,0.06972842663526535,0.07015617734848026,0.06972842663526535,0.07015617734848026,15254400
1981-09-08,0.06758968532085419,0.06801744193153715,0.06758968532085419,0.06801744193153715,25446400
1981-09-09,0.06758968532085419,0.06801744193153715,0.06758968532085419,0.06758968532085419,30531200
1981-09-10,0.06801743060350418,0.06844518143145321,0.06801743060350418,0.06801743060350418,34809600
1981-09-11,0.0671619325876236,0.06758968347513192,0.0671619325876236,0.06758968347513192,17539200
1981-09-14,0.06502236425876617,0.06545011493959924,0.06502236425876617,0.06545011493959924,27686400
1981-09-15,0.0633113831281662,0.06373913403206344,0.0633113831281662,0.06373913403206344,19510400
1981-09-16,0.06202809512615204,0.0624558515769498,0.06202809512615204,0.0624558515769498,19353600
1981-09-17,0.060317087918519974,0.06074484442018418,0.06031708791851997,0.06074484442018418,19376000
1981-09-18,0.06074489280581474,0.06117264393670682,0.06074489280581474,0.06074489280581474,26320000
1981-09-21,0.06117263436317444,0.061600391138619294,0.06117263436317444,0.06117263436317444,49033600
1981-09-22,0.05775056779384613,0.05817831855468201,0.05775056779384612,0.05817831855468201,47420800
1981-09-23,0.05646733567118645,0.057322843382845406,0.05646733567118645,0.057322843382845406,28201600
1981-09-24,0.05603957921266556,0.05646733017108316,0.05603957921266556,0.05646733017108316,18300800
